Show Number, Air Date, Category, Value, Question, Answer
4200,2002-11-29,"AFRICA","None","1 of the 2 current African nations that were independent at the start of the 20th century","Liberia or Ethiopia"
2889,1997-03-06,"FAMOUS WOMEN","None","She worked as a model, caterer, cooking columnist & food stylist before starting her own magazine in 1990","Martha Stewart"
4956,2006-03-13,"AMERICAN HISTORY","None","Henry Laurens, Thomas Mifflin & Richard Henry Lee were presidents of this body that only lasted for about 15 years","the Continental Congress"
1656,1991-11-11,"AUTHORS","None","His father was a general under Napoleon & he took part in Garibaldi's liberation of Sicily in 1860","Alexandre Dumas"
4158,2002-10-02,"BROADWAY STARS","None","This Tony-winning actor with the real name Joseph took part of his stage name from a role in ""Guys and Dolls""","Nathan Lane"
5077,2006-10-10,"CLASSIC CARTOON CHARACTERS","None","The 1935 cartoon ""I Haven't Got a Hat"" was the first of many cartoons that paired him with a cat named Beans","Porky Pig"
3566,2000-02-21,"U.S. CITIES","None","This city's flag shows 2 rivers joining behind a fleur-de-lis","St. Louis (at the confluence of the Missouri & Mississippi Rivers)"
5645,2009-03-06,"CELEBRATIONS","None","Homecoming Scotland is a yearlong celebration fo this man's 250th birthday on Jan. 25, 2009","Robbie Burns"
3240,1998-10-09,"WORDS","None","Once luring men to danger, now one warns of it","a siren"
5466,2008-05-19,"THE MOVIES","None","A famous scene from this 1976 film was completely ad-libbed; the script simply read, ""Travis looks in the mirror""","Taxi Driver"
5693,2009-05-13,"THE HISTORY OF FLIGHT","None","In 1784 these 2 future presidents saw an early manned balloon flight in Paris &, in 1793, America's 1st, in Philadelphia","John Adams & Thomas Jefferson"
2621,1996-01-15,"POLITICIANS","None","In 1961, Lyndon Johnson was sworn in as vice president by this mentor","Sam Rayburn"
5563,2008-11-12,"WORD ORIGINS","None","The name of this branch of mathematics comes from the Arabic for ""reuniting""","algebra"
5980,2010-09-17,"RIVERS","None","These 2 rivers, each more than 1,000 miles long, rise in the Armenian Plateau in Turkey","the Tigris & the Euphrates"
5545,2008-10-17,"ORGANIZATIONS","None","The co-founder of this respected organization refused to appear on the cover of Time magazine, even with his back turned","Alcoholics Anonymous"
966,1988-11-14,"THE CIVIL WAR","None","The bloodiest single day of fighting in the Civil War took place in this state","Maryland"
3794,2001-02-15,"THE UNITED NATIONS","None","It's the point in the center of the circle in the U.N. emblem","North Pole"
3035,1997-11-07,"WOMEN AUTHORS","None","Tourists may visit the Chawton, England home of this sensible 19th C. novelist, still popular today","Jane Austen"
3696,2000-10-02,"POP MUSIC","None","In May 1999 he had the No. 1 spot on the Hot 100, Top 40, Hot Latin & Hot Dance Music/Maxi-Single Sales Billboard charts","Ricky Martin"
5499,2008-07-03,"U.S. PRESIDENTS","None","The first man to receive a million votes for president in one election, he didn't get to enjoy the victory for long","William Henry Harrison"
3818,2001-03-21,"HISTORIC TERMS","None","This 2-word term for ambitious men had its origins in the group that replaced Ottoman sultan Abdul Hamid in 1909","Young Turks"
5287,2007-09-11,"AFRICAN CITIES","None","Africa's most populous city not on a navigable body of water; its settlers didn't need water when they had gold","Johannesburg"
4206,2002-12-09,"WORDS","None","This common expression of distress comes from an English representation of the French for ""help me""","Mayday"
1285,1990-03-16,"LITERARY CHARACTERS","None","He first appeared as the title character in the 1630 drama ""The Seducer of Seville""","Don Juan"
4522,2004-04-13,"WORD HISTORY","None","Circa 1860 Robert Fitzroy of Britain's meteorological office rejected prediction & prophecy in favor of this word","forecast"
3277,1998-12-01,"THE OLYMPICS","None","Eddie Eagan, the only person to win golds in Summer & Winter Games, won in these 2 sports both beginning with ""B""","Bobsledding & boxing"
3509,1999-12-02,"NOVELISTS","None","""Omerta"", the title of the last book he completed before his death in 1999, is Sicilian for ""code of silence""","Mario Puzo"
3967,2001-11-27,"SIGNS & SYMBOLS","None","To boost morale between 2 merging insurance companies, it was designed & put on a pin in 1963 by Harvey Ball","the smiley face"
5089,2006-10-26,"GOVERNMENT & POLITICS","None","They are the only 2 men voted president of the United States by the House of Representatives","Thomas Jefferson & John Quincy Adams"
5149,2007-01-18,"ANIMATED CHARACTERS","None","The middle initial of this cartoon critter introduced in 1949 stands for Ethelbert","Wile E. Coyote"
2595,1995-12-08,"EUROPE","None","Excluding Russia, with over 81 million people, it's the most populous country in Europe","Germany"
4782,2005-05-24,"LAW & SOCIETY","None","This Hollywood legend who died January 21, 1959 supported placing monuments that have since brought legal challenges","Cecil B. DeMille"
1283,1990-03-14,"AMERICAN POETRY","None","The poem that includes the line:  ""Leave no black plume as a token of that lie thy soul hath spoken!""","\""The Raven\"" (by Edgar Allan Poe)"
4828,2005-09-14,"18th CENTURY LITERATURE","None","This character studied medicine, ""knowing it would be useful in long voyages""","Gulliver"
6203,2011-07-27,"ROYALTY","None","On the run following the siege of Oxford, he surrendered May 5, 1646 near Newark on Trent","Charles I"
6158,2011-05-25,"FEMALE SINGERS","None","She's tied with Mariah Carey for most no. 1 hits by a female with 18: 12 as a member of a group & 6 as a solo act","Diana Ross"
3408,1999-06-02,"ITALIAN VOCABULARY","None","This word well known to sculpture lovers can be translated as ""mercy"" or ""compassion""","Pieta"
2990,1997-09-05,"U.S. STAMPS","None","Its anniversary was honored with <a href=""http://www.j-archive.com/media/1997-09-05_FJ.jpg"" target=""_blank"">the following</a>:","The Emancipation Proclamation"
3574,2000-03-02,"BUSINESS & INDUSTRY","None","This U.S. firm is the world's largest processor of tomatoes","H.J. Heinz"
5119,2006-12-07,"WORLD GEOGRAPHY","None","The Lusatian Mountains, in the western Sudeten range, form part of the border between these 2 countries","Germany & the Czech Republic"
3927,2001-10-02,"SPORTS STARS","None","A July 2001 newspaper ad from the U.S. Postal Service congratulating this man read ""Un, Deux, Trois!""","Lance Armstrong"
5879,2010-03-18,"AUTHORS","None","In 1890 he witnessed a mild cyclone in Aberdeen, South Dakota, fodder for his most famous novel","L. Frank Baum"
5124,2006-12-14,"WORD ODDITIES","None","This Britishism, a homophone of a letter in the alphabet, has one consonant followed by a line of 4 vowels","queue"
4706,2005-02-07,"THE ELEMENTS","None","By weight, this element makes up more of the human body than all the others combined","oxygen"
498,1986-11-05,"ANCIENT WONDERS","None","Of the other 6 wonders, this one was nearest to the only wonder which still exists, the pyramids","Pharos (Lighthouse) of Alexandria"
4264,2003-02-27,"ADVERTISING ICONS","None","Of Advertising Age's Top 10 Advertising Icons of the 20th Century, one of the 3 that are animals","Elsie the Cow, the Energizer Bunny or Tony the Tiger"
2935,1997-05-09,"PAINTERS","None","His grandson was the cinematographer of ""Barbarella"" & ""The Spy Who Loved Me""","Pierre Auguste Renoir"
3081,1998-01-12,"TV & MOVIE SETTINGS","None","The movie ""Diner"" & TV's ""Homicide"" are set in this hometown of director-producer Barry Levinson","Baltimore"
3832,2001-04-10,"FILMS & AUTHORS","None","""The 5,000 Fingers of Dr. T"" in 1953 was the 1st live-action feature film from this author's works; a 2nd was released in 2000","Dr. Seuss"
5129,2006-12-21,"THE MIDDLE EAST","None","By tradition, this nation's president is a Maronite Christian, the P.M. a Sunni & the speaker of the Parliament a Shiite","Lebanon"
3430,1999-07-02,"U.S. GOVERNMENT","None","William Wirt was attorney general for over 11 years, a record; this attorney general is second, with 6 years","Janet Reno"
4895,2005-12-16,"1940s MOVIES","None","This 1942 film gained greater distinction following a January 1943 meeting of Allied leaders in its title location","Casablanca"
4689,2005-01-13,"FEDERAL PUBLIC SERVANTS","None","With 7 years' service, this man who resigned in June 2004 had the longest tenure in his position in over 4 decades","George Tenet (former head of the CIA)"
6204,2011-07-28,"WORLD HISTORY","None","Surus was the last known one of these to survive a mountain crossing in the 3rd century B.C.","an elephant"
2051,1993-07-05,"FICTIONAL CHARACTERS","None","Chile's Juan Fernandez islands include a pair named for Alexander Selkirk & this fictional character","Robinson Crusoe"
5971,2010-07-26,"LITERARY BRAWLS","None","At Key West in 1936, Wallace Stevens broke his hand punching this man, who responded by knocking Stevens down","Ernest Hemingway"
3753,2000-12-20,"BUSINESS NEWS","None","They were introduced in 1941, designated as just ""Plain"" in 1954 & rechristened as ""Milk Chocolate"" in 2000","M&M's"
3478,1999-10-20,"20th CENTURY NEWSMAKERS","None","Due to police irregularities, this man's Arizona conviction was overturned by the U.S. Supreme Court in 1966","Ernesto Miranda"
3401,1999-05-24,"VICTORY CELEBRATIONS","None","This man received the first & only New York City ticker-tape parade ever given to a classical musician","Van Cliburn"
3973,2001-12-05,"HISTORIC HEROES","None","This man born in 1783 is considered the national hero of 5 different countries","Simon Bolivar"
1871,1992-10-26,"HISTORIC NAMES","None","For his licentious behavior, monk Grigori Yefimovich Novykh earned this nickname meaning ""debauched one""","Rasputin"
2912,1997-04-08,"MYSTERY NOVELS","None","The first line of dialogue in this 1930 novel is spoken to secretary Effie Perine, ""Yes, sweetheart?""","The Maltese Falcon"
5525,2008-09-19,"NBA LOGOS","None","The logo of this NBA team has a rowel on it","the San Antonio Spurs"
2843,1997-01-01,"AUTHORS","None","In 1996, 7 years after giving up law, he returned to a Mississippi courtroom & won a case for an old client","John Grisham"
3259,1998-11-05,"FAMOUS HOTELS","None","Cartoons from The New Yorker line the hallways of this hotel where Harold Ross conceived the magazine","The Algonquin Hotel"
3563,2000-02-16,"OSCAR-WINNING MOVIES","None","Its final scene includes the line ""I do wish we could chat longer, but I'm having an old friend for dinner""","The Silence of the Lambs"
4990,2006-04-28,"AFRICA","None","In November 2005 leaders of Spain & France joined in celebrating the 50th anniversary of this country's independence","Morocco"
3252,1998-10-27,"FAMOUS PEOPLE","None","In 1998 the govt. of Ontario was forced to pay them $2.8 million for exploiting them decades ago","the Dionne Quintuplets"
4746,2005-04-04,"PRESIDENTS & THE MOVIES","None","This president arranged the first film showing in the White House when he had ""The Birth of a Nation"" screened there","Woodrow Wilson"
3550,2000-01-28,"FRONT PAGE HISTORY","None","An August 6, 1945 Associated Press story described this as a ""Japanese army base""","Hiroshima (story about the dropping of the first atomic bomb)"
5773,2009-10-21,"AMERICAN THINKERS","None","He told George Washington he hoped ""the Rights of Man may become as universal as your benevolence can wish""","Thomas Paine"
3211,1998-07-13,"LITERARY TOURISM","None","This memoir, winner of a 1997 Pulitzer Prize, has made Limerick a hot tourist destination","\""Angela's Ashes\"""
4813,2005-07-06,"PEOPLE IN GOVERNMENT","None","Now in his job over 17 years, he's the longest-serving pres. appointee other than Supreme Court members","Alan Greenspan (Chairman of the Federal Reserve)"
5543,2008-10-15,"MUSICALS","None","Profession of the title character of ""Little Johnny Jones"", featuring the song ""The Yankee Doodle Boy""","jockey"
4345,2003-06-20,"FORMER WORLD LEADERS","None","Filling out her application to run in 1986, this widowed mother of 5 listed her occupation as housewife","Corazon Aquino (of the Philippines)"
5987,2010-09-28,"BIBLICAL BEASTS","None","It's the total number of legs on the 2 non-human animals whose words are quoted in the Old Testament","4"
4870,2005-11-11,"20th CENTURY U.S. PRESIDENTS","None","His mother, Louise, said, ""I do not want my son to be president... his is a judicial mind and he loves the law""","William Howard Taft"
5048,2006-07-19,"PRESIDENTIAL QUOTATIONS","None","He announced to the American public, ""The force from which the sun draws its power has been loosed...""","Harry Truman"
307,1985-11-12,"FLAGS","None","This color appears on more different national flags than any other","red"
3213,1998-07-15,"U.S. RETAILING","None","A February 1998 study found the world's highest store rents, $580 per square foot, on this street","Fifth Avenue (New York City)"
5138,2007-01-03,"NOVEL INSPIRATIONS","None","Novel inspired by a vision of a ""pale student of unhallowed arts kneeling beside the thing he had put together""","Frankenstein"
4535,2004-04-30,"18th CENTURY BRITISH NOVELS","None","This title person asks a pile of money, ""What art thou good for?... one of those knives is worth all this heap""","Robinson Crusoe"
4879,2005-11-24,"HISTORIC NAMES","None","In 2005, the 700th anniversary of his execution, his 5-foot sword was displayed in N.Y. as part of a Tartan Day celebration","William Wallace"
6101,2011-03-07,"OLYMPIC HOST COUNTRIES","None","3 of the 6 countries that have hosted both the summer & winter Olympics","(3 of) United States, Canada, France, Germany, Italy & Japan"
4637,2004-11-03,"ROYALTY","None","This king was the great-grandfather of France's King Louis XV","Louis XIV"
4875,2005-11-18,"WORLD CAPITALS","None","Pizarro founded this city whose present name is from a Quechua word meaning ""talker""","Lima, Peru"
1423,1990-11-07,"SHAKESPEARE","None","The 3-word title of this play begins & ends with the same 7-letter word","Measure for Measure"
4764,2005-04-28,"BRITISH MILITARY HISTORY","None","He commanded the forces that rescued the survivors of the infamous Black Hole of Calcutta in 1756","Robert Clive"
5943,2010-06-16,"MODERN MATERIALS","None","Introduced in the '70s to replace steel belting on high-speed tires, it's called stronger than steel & lighter than nylon","Kevlar"
4783,2005-05-25,"20th CENTURY AMERICANS","None","These names of 2 original Mercury astronauts, who orbited Earth in May 1962 & May 1963, are also occupations","Carpenter & Cooper"
5207,2007-04-10,"NOTABLE NAMES","None","The fervent patriotism of this man who died in 1919 earned him the nickname ""The Star-Spangled Scotchman""","Andrew Carnegie"
5527,2008-09-23,"TENNIS","None","This Grand Slam stadium is named for a WWI pilot who pioneered the use of machine guns on fighter planes","Roland Garros Stadium"
4578,2004-06-30,"HISTORIC NAMES","None","In 1899 he was released from Devil's Island & pardoned for ""treason under extenuating circumstances""","Captain Alfred Dreyfus"
1255,1990-02-02,"POLITICS","None","He was the last man holding the office of gov. when elected vice president of the U.S.","Spiro Agnew (1968)"
5234,2007-05-17,"CRIME TIME","None","The largest art theft in U.S. history was at 1:24 a.m. on this date in 1990, while Boston slumbered after partying","March 18"
5226,2007-05-07,"U.S. STATES","None","Of all the U.S. states named after European monarchs, it's the one that reaches the farthest west","Louisiana"
4762,2005-04-26,"IN THE DICTIONARY","None","Much in the news of the world at the end of June 2004, it's the only English word to contain ""GNT"" consecutively","sovereignty"
5746,2009-09-14,"WORD ORIGINS","None","This skilled army job may have been named for a bird because soldiers tested their rifle accuracy by shooting them","a sniper"
5451,2008-04-28,"ROYAL WIVES","None","Her marriage to Henry VIII lasted less than a year, but she had the last laugh, surviving him by 10 years","Anne of Cleves"
3752,2000-12-19,"POLITICAL HISTORY","None","Between 1894 & 1901 adherents of this political theory killed the heads of state of France, Spain, Italy & the U.S.","Anarchy"
3144,1998-04-09,"CABLE TV","None","Spawning a web site, videos & a magazine, this A&E series has taken on a life of its own","Biography"
3370,1999-04-09,"RELIGIOUS TERMS","None","John Paul II has eliminated this position whose duty was to present arguments against sainthood","Devil's Advocate"
961,1988-11-07,"WORLD CITIES","None","This major North American city is built around the mountain for which it's named","Montreal (Mont Royal)"
6222,2011-10-11,"19th CENTURY LITERATURE","None","""'How are you getting on?' said"" this animal character, ""as soon as there was mouth enough for it to speak with""","the Cheshire Cat"
4274,2003-03-13,"EARLY AMERICAN HISTORY","None","On Sept. 8, 1565 the first Catholic parish in what is now the U.S. was founded at this settlement","St. Augustine (in Florida)"
6058,2011-01-05,"COUNTRIES","None","By area, it's the world's largest country that's named for a river","India"
3327,1999-02-09,"AMERICAN HISTORY","None","At the outbreak of hostilities of the Civil War, he was president of the Senate","Hannibal Hamlin"
5201,2007-04-02,"HISTORIC LOCATIONS","None","It's where British Admiral Fraser, Canadian Army Col. Cosgrave & Japanese Gen. Umezu all stood on Sept. 2, 1945","the USS battleship Missouri"
6174,2011-06-16,"20th CENTURY NOVELS","None","Penned by a British author, it became a No. 1 bestseller in the U.S. in 1959, 31 years after it was initially banned","Lady Chatterley's Lover"
5924,2010-05-20,"AFRICAN CAPITALS","None","This West Central African capital grew out of a settlement that France established for freed slaves in 1849","Libreville"
4745,2005-04-01,"AUTOMOTIVE HISTORY","None","In 1959 the ad firm of Doyle Dane Bernbach began using the slogan ""Ugly is only skin-deep"" for this import model","Volkswagen Beetle"
6035,2010-12-03,"THE CABINET","None","These 2 Cabinet departments both depict 19th century plows on their official seals","Agriculture & Labor"
4920,2006-01-20,"CURRENT ROYALTY","None","First name & number shared by 2 current European monarchs","Albert II"
3315,1999-01-22,"SPACEFLIGHT","None","He made 2 Gemini flights, 2 Apollo flights & 2 shuttle flights, including the first in 1981","John Young"
2929,1997-05-01,"QUOTATIONS ABOUT LAWYERS","None","Playwright who penned the famous line, ""The first thing we do, let's kill all the lawyers""","William Shakespeare"
4244,2003-01-30,"FICTIONAL CHARACTERS","None","A Nagasaki geisha who had a child with a man named Glover was the model for this title character","Madame Butterfly"
3064,1997-12-18,"WORLD WAR II","None","Launched Sept. 27, 1941, the first of the Liberty Ships was named for this Revolutionary War figure","Patrick Henry"
3286,1998-12-14,"TV & LITERATURE","None","The ""X-Files"" episode entitled ""Post-Modern Prometheus"" was an update of this classic 1818 tale","Frankenstein"
5673,2009-04-15,"EXPLORERS","None","In 1611 Henry Greene led a successful mutiny against this captain, but soon after was killed by Eskimos","Henry Hudson"
5062,2006-09-19,"BRITISH ROYALTY","None","Just prior to her death in 1536, she told Sir William Kingston, ""I have a little neck""","Anne Boleyn"
5826,2010-01-04,"AUTHORS' QUOTATIONS","None","""I had no idea of originating an American flapper... I simply took girls whom I knew very well"" & ""used them for my heroines""","F. Scott Fitzgerald"
5159,2007-02-01,"TRADEMARKS","None","The invention of what was termed ""electro-photography"" led to the 1948 trademarking of this word","Xerox"
4361,2003-07-14,"MAGAZINES","None","For its 1st swimsuit edition in 2003, it covered 100 years of the swimsuit & included a 1917 photo of topless island women","National Geographic"
5600,2009-01-02,"EUROPEAN HISTORY","None","On April 13, 1895 he entered the Devils Island penal colony to serve a life sentence, but he was out by 1899","Alfred Dreyfus"
4145,2002-09-13,"PRESIDENTIAL ELECTIONS","None","The first winning presidential ticket of 2 sitting U.S. senators was the ticket of these 2 men","John F. Kennedy & Lyndon B. Johnson"
6079,2011-02-03,"WORD HISTORY","None","Since the 1600s this 8-letter word has meant men of letters; a punning form of it refers to celebrities","literati"
4958,2006-03-15,"NATURE","None","Far from the mainland, Hawaii is poor in native mammals: it has 2, a type of seal & a type of this, order Chiroptera","a bat"
2777,1996-10-01,"PRESIDENTS","None","The only 2 consecutive U.S. presidents with the same first name","James Madison & James Monroe"
5696,2009-05-18,"NO. 1 HITS OF THE 1970s","None","In 2008 doctors said that, aptly, this Bee Gees song provides an ideal beat to follow","\""Stayin' Alive\"""
3533,2000-01-05,"ECOLOGY","None","Former Monty Python member John Cleese has joined a campaign to save this bird from extinction","Parrot"
3411,1999-06-07,"STATE CAPITALS","None","Chartered in 1781, it's the only state capital named for a French city","Montpelier, Vermont"
5484,2008-06-12,"FUN WITH NUMBERS","None","It's the only whole number that when spelled out has all its letters in reverse alphabetical order","one"
3131,1998-03-23,"SINGERS","None","Artist who released the 1991 double album ""Who'll Buy My Memories:  The I.R.S. Tapes""","Willie Nelson"
4380,2003-09-26,"THE TOY BOX","None","Spud & Yam are 2 of the offspring of this toy introduced in 1952","Mr. Potato Head"
5755,2009-09-25,"ANIMALS","None","Because of the requirements in pumping blood to its brain, it has the highest blood pressure of any living animal","the giraffe"
4896,2005-12-19,"TRADEMARKS","None","As the result of a merger in 1999, this company's trademarks include both a tiger & Pegasus","Exxon Mobil"
4826,2005-09-12,"BROADWAY MUSICALS","None","""No matter how hopeless, no matter how far, to fight for the right without question"" is from this show","Man of La Mancha"
3302,1999-01-05,"THE 1970s","None","In April 1974 Jimmy Carter presented him with a license plate that read ""HLA715""","Hank Aaron"
4794,2005-06-09,"AMERICAN LICENSE PLATES","None","One of its official license plates bears the motto ""Taxation without Representation""","Washington, D.C."
5582,2008-12-09,"AMERICAN LITERARY SITES","None","In the 20th century <a href=""http://www.j-archive.com/media/2008-12-09_FJ.jpg"" target=""_blank"">it became a popular recreation site</a>, with crowds of 25,000; its most famous visitor might disapprove","Walden Pond"
3298,1998-12-30,"AMERICAN POLITICIANS","None","This Texas Democrat's funeral was attended by Truman, Eisenhower, JFK & LBJ","Sam Rayburn"
2885,1997-02-28,"FLAGS","None","This saint's cross appears on the provincial flag of Nova Scotia","St. Andrew"
5495,2008-06-27,"THE U.S. POPULATION","None","With about 5 people per square mile, it's the most sparsely populated of the lower 48 states","Wyoming"
6181,2011-06-27,"GAMES","None","In 2007 Robstown, near Corpus Christi, was recognized as the birthplace of this game, now played online too","Texas hold 'em"
4299,2003-04-17,"CELEBRITY RELATIVES","None","Over the end credits of ""Confessions of a Dangerous Mind"" she sings ""There's No Business Like Show Business""","Rosemary Clooney"
1267,1990-02-20,"GOVERNMENT","None","This man resigned his Senate seat January 3, 1989","Dan Quayle"
6034,2010-12-02,"BRITISH WOMEN","None","It's said that this woman who died in 1976 ""made more money out of murder than any woman since Lucrezia Borgia""","Agatha Christie"
5005,2006-05-19,"WORLD LITERATURE","None","It says, ""'O Poet... I beg you, that I may flee this evil & worse evils, to lead me... that I may see the gateway of Saint Peter'""","Dante's Inferno"
3764,2001-01-04,"REPUBLICANS","None","The only election year since 1948 in which there was not a Dole, a Nixon or a Bush on the Republican national ticket","1964 (Barry Goldwater & Bill Miller)"
5912,2010-05-04,"OFFICIAL STATE SONGS","None","In 1953 it became the only state whose official song was written for a Broadway musical","Oklahoma"
4455,2004-01-09,"CURRENT WORLD LEADERS","None","He's believed to be grooming his son Gamal to succeed him","Hosni Mubarak"
3440,1999-07-16,"U.S. PRESIDENTS","None","The 2 U.S. presidents who died at the youngest ages, 82 years apart","James A. Garfield & John F. Kennedy"
3173,1998-05-20,"THE NOBEL PRIZE","None","1 of the 2 women from the United States who have won the Nobel Prize for Literature","(1 of) Toni Morrison or Pearl Buck"
4973,2006-04-05,"STATE CAPITALS","None","Alphabetically, they're the first two state capitals named for presidents","Jackson & Jefferson City"
739,1987-11-19,"RULERS","None","The only name shared by four consecutive kings of England","George (I - IV)"
5065,2006-09-22,"FAMOUS NAMES","None","The Grady Gammage Auditorium at Arizona State University was the last major public building that he designed","Frank Lloyd Wright"
2987,1997-09-02,"RELIGION","None","Written in 1517, the 62nd of these is ""The true treasure of the church is the holy gospel of... God""","the 95 Theses"
3654,2000-06-22,"CONTEMPORARY AMERICANS","None","This man's father, an Omaha stockbroker & politician, once returned his Congressional pay raise","Warren Buffett"
4788,2005-06-01,"PRESIDENTIAL CAMPAIGN SLOGANS","None","It's the election year the campaign slogans ""The Moose Is Loose"" & ""Ready for Teddy Again"" were used","1912"
6124,2011-04-07,"LITERARY QUOTATIONS","None","Pulitzer Prize winner Robert Frost remarked that this is what gets ""lost in translation""","poetry"
4629,2004-10-21,"THE EARLY 20th CENTURY","None","On April 11, 1912, from a pier in Queenstown, Ireland, Francis Brown took one of the last known photos of this","the Titanic"
3085,1998-01-16,"IN THE NEWS","None","Colin Powell & Jimmy Carter were among those who attended its dedication Nov. 6, 1997 at Texas A&M University","George Bush Presidential Library and Museum"
446,1986-05-26,"THE NOBEL PRIZE","None","It's the only organization to have been awarded 3 Nobel Peace Prizes","the Red Cross"
6264,2011-12-08,"DECLARATION OF INDEPENDENCE SIGNERS","None","The only Roman Catholic signer represented this state","Maryland"
5523,2008-09-17,"U.S. GEOGRAPHY","None","It's 277 miles long, it's up to 18 miles wide, it's 6 million years old & at a given time temperatures within it can vary by 25 degrees","the Grand Canyon"
3002,1997-09-23,"HISTORIC GEOGRAPHY","None","In 1756 Voltaire said of this political entity that none of the 3 parts of its name was accurate","the Holy Roman Empire"
2632,1996-01-30,"ENGLAND","None","Also known as New Sarum, this city famous for its cathedral is just a stone's throw from Stonehenge","Salisbury"
4087,2002-05-14,"VICE PRESIDENTS","None","He was the only vice president to be elected to, & serve, 2 full terms as president","Thomas Jefferson"
6250,2011-11-18,"ACTOR-DIRECTORS","None","It's rare to get Oscar nominations for Best Director & Best Actor for the same film; he is 1 or the 2 who did it twice","(1 of) Clint Eastwood & Warren Beatty"
5025,2006-06-16,"TRANSPORTATION NEWS","None","This city's iconic Routemaster vehicles were just shy of 50 years' service when they were retired in 2005","London"
2582,1995-11-21,"LITERARY CHARACTERS","None","This character in an 1838 novel was based on Ikey Solomon, a British thief & fence","Fagin"
5421,2008-03-17,"BOOK TITLE REFERENCES","None","It ""had been built... for pigs about to be butchered.  Now it was going to serve as a home... for 100 American P.O.W.s""","Slaughterhouse 5"
5968,2010-07-21,"U.S. PRESIDENTS","None","Excluding honorary degrees, he's the only president to have degrees from both Harvard & Yale","George W. Bush"
3710,2000-10-20,"COLLEGES & UNIVERSITIES","None","It was founded in 1851 to serve the territory that included Indiana, Ohio, Wisconsin, Michigan, Illinois & part of Minnesota","Northwestern"
3616,2000-05-01,"SCULPTURE","None","This, the largest sculpture in the United States, is not located in South Dakota","Stone Mountain (in Georgia)"
5107,2006-11-21,"FROM BOOK TO FILM","None","Among the many movies that have premiered here at Radio City Music Hall was this 1962 film based on a novel by Harper Lee","To Kill a Mockingbird"
621,1987-04-27,"CODES OF HONOR","None","As bushido was to 16th century samurai, this was to 12th century knights","chivalry"
5854,2010-02-11,"COLLEGE HISTORY","None","The Pittsburgh university named for Andrew Carnegie is the USA's first to offer a degree in this musical instrument","the bagpipes"
5016,2006-06-05,"WORDS IN THE NEWS","None","This word for one who hangs around the corridors of power refers back to the corridors themselves","lobbyist"
5302,2007-10-02,"TRAINS","None","As of 2006, you can take a 48-hr. ride between these 2 cities, with a stretch on the world's highest railroad","Beijing & Lhasa"
2622,1996-01-16,"SPORTS NICKNAMES","None","This French tennis player born in 1905 is nicknamed ""The Crocodile""","Rene Lacoste"
3389,1999-05-06,"U.S. POLITICS","None","In 1952 this state became primary in politics by adding candidates' names to its primary ballots","New Hampshire"
2776,1996-09-30,"GREEK MYTHOLOGICAL GROUPS","None","2 groups, 1 of 9 & 1 of 3, that include a member named Thalia","The Muses and the Graces"
6009,2010-10-28,"WORD ORIGINS","None","This 4-letter term for a religious group that holds distinctive beliefs comes from the Latin for ""follow""","a sect"
6267,2011-12-13,"20th CENTURY LITERATURE","None","A 50th anniversary edition of this fictionalized biography featured the painting seen <a href=""http://www.j-archive.com/media/2011-12-13_FJ.jpg"" target=""_blank"">here</a> on its cover","Lust for Life"
2891,1997-03-10,"NOTABLE WOMEN","None","As staff director of the Florida House Judiciary Committee, she helped revise the state constitution","Janet Reno"
6182,2011-06-28,"FAMOUS NAMES","None","The last time the University of Michigan retired a football number was in 1994, in honor of this center who graduated in 1935","Gerald Ford"
4793,2005-06-08,"CHARITABLE WORK","None","Musician Ray Charles raised money for people afflicted by this, saying, ""To me, it's the worst thing in the world""","deafness (or hearing impairment)"
5483,2008-06-11,"MOVIE STARS","None","No. 18 on the AFI's list of the greatest American screen actors, he starred in just 3 films","James Dean"
6132,2011-04-19,"AUTHORS","None","He died in 1995, the day before the opening of a Glasgow veterinary library named for him","James Herriot"
1260,1990-02-09,"SHAKESPEARE","None","Tho Shakespeare wrote many plays about kings, she is the only title character who is a queen","Cleopatra"
3312,1999-01-19,"SHOW BUSINESS","None","This 1957 Buddy Holly hit was inspired by a line of dialogue from the John Wayne film ""The Searchers""","That'll Be The Day"
6208,2011-09-21,"OSCAR WINNERS","None","The most recent father & daughter to win acting Oscars: he won for playing a veteran, she for playing a mental patient","Jon Voight & Angelina Jolie"
3000,1997-09-19,"HOLIDAYS","None","Alphabetically, the federal legal public holidays in the U.S. run from Christmas to this","Veterans Day"
1206,1989-11-27,"STATE CAPITALS","None","Genoa, Italy gave this state capital a 20' statue which was put in front of City Hall","Columbus, Ohio"
6103,2011-03-09,"BRITISH ROYALTY","None","After the death in combat of the previous king, he became the last one to win the crown while on the battlefield","Henry VII"
4796,2005-06-13,"AMERICANA","None","This type of roadside establishment got its name & original design from a Pullman product","a diner"
2340,1994-11-04,"VICE PRESIDENTS","None","This Republican was the first V.P. to succeed to the presidency and then win the office by election","Theodore Roosevelt"
6184,2011-06-30,"COINS OF THE WORLD","None","50 Cent pieces issued in 2003 by this country depict Frodo, Gandalf, Gollum, Sauron & Aragorn","New Zealand"
5262,2007-06-26,"FILMS OF THE '60s","None","Parts of this 1961 rock & roll movie were filmed on location in Oahu & Kauai","Blue Hawaii"
